lambda,pde_mse,safety_rho,cooling_rho_tight,cooling_rho_loose,peak_value,final_spatial_max,wall_time_s_estimate
0,0.0007456644088961,0.039676010608673,-0.0621670186519622,0.0378329753875732,0.9603239893913268,0.3621670305728912,45.2
2,0.0080222804099321,0.1616175770759582,0.0058262050151824,0.105826199054718,0.8383824229240417,0.2941738069057464,70.56
4,0.0149178775027394,0.2216278910636901,0.0390696227550506,0.1390696167945861,0.7783721089363098,0.2609303891658783,95.92
6,0.0207446347922086,0.2620775699615478,0.0612988024950027,0.1612987965345382,0.7379224300384521,0.2387012094259262,121.28
8,0.0259736403822898,0.2924522757530212,0.0794273614883422,0.1794273555278778,0.7075477242469788,0.2205726504325866,146.64
10,0.0303219575434923,0.3164795637130737,0.0925477296113967,0.1925477236509323,0.6835204362869263,0.2074522823095321,172.0
