lambda,pde_mse,safety_rho,cooling_rho_tight,cooling_rho_loose,peak_value,final_spatial_max,wall_time_s_estimate
0,0.0007456644088961184,0.039676010608673096,-0.06216701865196228,0.03783297538757324,0.9603239893913269,0.36216703057289124,45.2
2,0.008022280409932137,0.16161757707595825,0.005826205015182495,0.10582619905471802,0.8383824229240417,0.29417380690574646,70.56
4,0.01491787750273943,0.22162789106369019,0.03906962275505066,0.13906961679458618,0.7783721089363098,0.2609303891658783,95.91999999999999
6,0.02074463479220867,0.26207756996154785,0.06129880249500275,0.16129879653453827,0.7379224300384521,0.2387012094259262,121.27999999999999
8,0.025973640382289886,0.29245227575302124,0.07942736148834229,0.1794273555278778,0.7075477242469788,0.22057265043258667,146.64
10,0.030321957543492317,0.31647956371307373,0.09254772961139679,0.1925477236509323,0.6835204362869263,0.20745228230953217,172.0
